"IT_NAME","IT_NO","agreement","annotation_id","annotator","created_at","id","image_url","lead_time","query","rating","relation","updated_at"
"MSI 微星 PRO MP275 E2 電腦螢幕 27吋 IPS 120Hz 1ms FHD 內建喇叭 商用螢幕 液晶螢幕 護眼螢幕","DSBC1Z-A900I50N8",100.0,75479564,"lobsterlabannotator+11@gmail.com","2025-10-16T02:08:24.167645Z",223471874,"https://cs-d.ecimg.tw/items/DSBC1ZA900I50N8/000001_1746003584.jpg",2628.707,"電腦螢幕","4","E","2025-10-16T02:08:24.167657Z"
"MSI 微星 PRO MP275 E2 電腦螢幕 27吋 IPS 120Hz 1ms FHD 內建喇叭 商用螢幕 液晶螢幕 護眼螢幕","DSBC1Z-A900I50N8",100.0,75335094,"lobsterlabannotator+4@gmail.com","2025-10-15T04:58:39.947473Z",223471874,"https://cs-d.ecimg.tw/items/DSBC1ZA900I50N8/000001_1746003584.jpg",35.632,"電腦螢幕","4","E","2025-10-15T04:58:39.947485Z"
"MSI 微星 PRO MP275 E2 電腦螢幕 27吋 IPS 120Hz 1ms FHD 內建喇叭 商用螢幕 液晶螢幕 護眼螢幕","DSBC1Z-A900I50N8",100.0,75180434,"lobsterlabannotator+7@gmail.com","2025-10-14T07:42:47.681756Z",223471874,"https://cs-d.ecimg.tw/items/DSBC1ZA900I50N8/000001_1746003584.jpg",30.976,"電腦螢幕","4","E","2025-10-14T07:42:47.681769Z"
"MSI 微星 PRO MP275 E2 電腦螢幕 27吋 IPS 120Hz 1ms FHD 內建喇叭 商用螢幕 液晶螢幕 護眼螢幕","DSBC1Z-A900I50N8",100.0,75158308,"lobsterlabannotator+1@gmail.com","2025-10-14T03:50:11.257092Z",223471874,"https://cs-d.ecimg.tw/items/DSBC1ZA900I50N8/000001_1746003584.jpg",13.224,"電腦螢幕","4","E","2025-10-14T03:50:11.257104Z"
"MSI 微星 PRO MP275Q 電腦螢幕 27吋 2K 100Hz 內建喇叭 電競螢幕","DSBC1Z-A900HFNGN",100.0,75479574,"lobsterlabannotator+11@gmail.com","2025-10-16T02:08:50.533771Z",223471875,"https://cs-d.ecimg.tw/items/DSBC1ZA900HFNGN/000001_1753770018.jpg",23.866,"電腦螢幕","4","E","2025-10-16T02:08:50.533783Z"
"MSI 微星 PRO MP275Q 電腦螢幕 27吋 2K 100Hz 內建喇叭 電競螢幕","DSBC1Z-A900HFNGN",100.0,75335111,"lobsterlabannotator+4@gmail.com","2025-10-15T04:58:52.530862Z",223471875,"https://cs-d.ecimg.tw/items/DSBC1ZA900HFNGN/000001_1753770018.jpg",10.814,"電腦螢幕","4","E","2025-10-15T04:58:52.530874Z"
"MSI 微星 PRO MP275Q 電腦螢幕 27吋 2K 100Hz 內建喇叭 電競螢幕","DSBC1Z-A900HFNGN",100.0,75180472,"lobsterlabannotator+7@gmail.com","2025-10-14T07:42:56.314039Z",223471875,"https://cs-d.ecimg.tw/items/DSBC1ZA900HFNGN/000001_1753770018.jpg",7.037,"電腦螢幕","4","E","2025-10-14T07:42:56.314057Z"
"MSI 微星 PRO MP275Q 電腦螢幕 27吋 2K 100Hz 內建喇叭 電競螢幕","DSBC1Z-A900HFNGN",100.0,75158312,"lobsterlabannotator+1@gmail.com","2025-10-14T03:50:19.986649Z",223471875,"https://cs-d.ecimg.tw/items/DSBC1ZA900HFNGN/000001_1753770018.jpg",6.874,"電腦螢幕","4","E","2025-10-14T03:50:19.986663Z"
"手持溫濕度探測器 濕度顯示器 電子溫度計 測溫 濕度感應器 手持濕度感測器 溼度測量 190-WT9065","DQBB0T-A900J0VAG",100.0,75479589,"lobsterlabannotator+11@gmail.com","2025-10-16T02:09:37.611924Z",223471876,"https://cs-d.ecimg.tw/items/DQBB0TA900J0VAG/000001_1752140714.jpg",45.301,"電腦螢幕","0","I","2025-10-16T02:09:37.611936Z"
"手持溫濕度探測器 濕度顯示器 電子溫度計 測溫 濕度感應器 手持濕度感測器 溼度測量 190-WT9065","DQBB0T-A900J0VAG",100.0,75335126,"lobsterlabannotator+4@gmail.com","2025-10-15T04:59:10.004697Z",223471876,"https://cs-d.ecimg.tw/items/DQBB0TA900J0VAG/000001_1752140714.jpg",15.715,"電腦螢幕","0","I","2025-10-15T04:59:10.004708Z"
