task_id,img,query,item,it_name,annotator
223471874,https://cs-d.ecimg.tw/items/DSBC1ZA900I50N8/000001_1746003584.jpg,電腦螢幕,DSBC1Z-A900I50N8,MSI 微星 PRO MP275 E2 電腦螢幕 27吋 IPS 120Hz 1ms FHD 內建喇叭 商用螢幕 液晶螢幕 護眼螢幕,"1,4,7,11"
223471875,https://cs-d.ecimg.tw/items/DSBC1ZA900HFNGN/000001_1753770018.jpg,電腦螢幕,DSBC1Z-A900HFNGN,MSI 微星 PRO MP275Q 電腦螢幕 27吋 2K 100Hz 內建喇叭 電競螢幕,"1,4,7,11"
223471876,https://cs-d.ecimg.tw/items/DQBB0TA900J0VAG/000001_1752140714.jpg,電腦螢幕,DQBB0T-A900J0VAG,手持溫濕度探測器 濕度顯示器 電子溫度計 測溫 濕度感應器 手持濕度感測器 溼度測量 190-WT9065,"1,4,7,11"
223471877,https://cs-d.ecimg.tw/items/DPADK9A900BV9B9/000001_1753977549.jpg,電腦螢幕,DPADK9-A900BV9B9,JVC 40型FHD LED液晶顯示器40B(J),"1,4,7,11"
223471878,https://cs-d.ecimg.tw/items/DJBR28D900IOSJ1/000001_1745896821.jpg,電腦螢幕,DJBR28-D900IOSJ1,HyRead OLED有機發光二極體顯示器技術(電子書),"1,4,7,11"
223471879,https://cs-d.ecimg.tw/items/DSBC1ZA900IF4Z8/000001_1748861019.jpg,電腦螢幕,DSBC1Z-A900IF4Z8,Samsung 三星 4K UHD 32吋高解析度平面顯示器 S32D806UACXZW 公司貨,"1,4,7,11"
223471880,https://cs-d.ecimg.tw/items/DEAVF1A900IX8LF/000001_1749610028.jpg,電腦螢幕,DEAVF1-A900IX8LF,AKEEYO	【AIO5 Play For BMW】智能騎乘顯示器 BMW 專用,"1,4,7,11"
223471881,https://cs-d.ecimg.tw/items/DGCI6CA900J2F9P/000001_1753429313.jpg,電腦螢幕,DGCI6C-A900J2F9P,CHICHIAU 奇巧 高效能音源放大器(含音源強度顯示器)/隔牆監聽器,"1,4,7,11"
223471882,https://cs-d.ecimg.tw/items/DQBS4VA900IIFCP/000001_1743388660.jpg,電腦螢幕,DQBS4V-A900IIFCP,昌運監視器 VP-18 8Port 電腦螢幕分配器 VGA/SVGA/XGA/UXGA/Multisync,"1,4,7,11"
223471883,https://cs-d.ecimg.tw/items/DPADT3A900IIXTD/000001_1755271781.jpg,電腦螢幕,DPADT3-A900IIXTD,TCL 50吋 4K Google TV monitor 智慧連網液晶顯示器-基本安裝(50P755),"1,4,7,11"
223471884,https://cs-d.ecimg.tw/items/DYAJLZ1900HSPR9/000001_1754618542.jpg,iphone 16,DYAJLZ-1900HSPR9,Apple 蘋果 iPhone 16 Plus (128G),"1,4,7,11"
223471885,https://cs-d.ecimg.tw/items/DYAJ811900IDJHY/000001_1747723845.jpg,iphone 16,DYAJ81-1900IDJHY,Apple 蘋果 iPhone 16e (256G),"1,4,7,11"
223471886,https://cs-d.ecimg.tw/items/DCAD6EA900H15NG/000001_1713498960.jpg,iphone 16,DCAD6E-A900H15NG,Sily Type-C 35W單孔GaN氮化鎵快充頭 PD快充器 充電頭/豆腐頭/旅充頭 支援iPhone 16/筆電/耳機 禮物 送禮,"1,4,7,11"
223471887,https://cs-d.ecimg.tw/items/DGBH6IA900IGUI6/000001_1742196402.jpg,iphone 16,DGBH6I-A900IGUI6,JJC 磁吸式Magsafe蘋果Apple手機iPhone 16/15/14濾鏡轉接環支架CPL偏光鏡組MFS-CPLK(口徑67mm;附冷靴座),"1,4,7,11"
223471888,https://cs-d.ecimg.tw/items/DYAP8TA900HI69V/000001_1716457530.jpg,iphone 16,DYAP8T-A900HI69V,ADATA 威剛 USB-A 3.2 Gen 1 to TYPE-C 充電傳輸線 銀色100cm(支援iPhone16/15),"1,4,7,11"
223471889,https://cs-d.ecimg.tw/items/DSBC29A900HSOPK/000001_1725953853.jpg,iphone 16,DSBC29-A900HSOPK,for iPhone16 Pro 6.3 豔星複合無痕磁吸版透明軍規保護殼,"1,4,7,11"
223471890,https://cs-d.ecimg.tw/items/DCADJ5A900IHWEU/000001_1749716332.jpg,iphone 16,DCADJ5-A900IHWEU,ZA 喆安 Type-C轉HDMI 4K投影螢幕線 支援USB Type-C to HDMI投影 適用iPhone16 15/MacBook/iPad/手機/平板/筆電,"1,4,7,11"
223471891,https://cs-d.ecimg.tw/items/DYBA2UA900HJR1T/000001_1718351382.jpg,iphone 16,DYBA2U-A900HJR1T,Sily Type-C二合一3.5mm耳機轉接頭 AUX音頻轉接線 PD3.0 60W快充線 支援iphone 16/電腦/手機/音響/平板/耳機,"4,7,11"
223471892,https://cs-d.ecimg.tw/items/DEADPFA900B2VQ8/000001_1626227381.jpg,iphone 16,DEADPF-A900B2VQ8,Suniwin 尚耘 Apple iphone16磁吸車用手機無線充電ms42/導航支架/車載充電器/360旋轉/15W快充/Qi充電盤/汽車充電座,"1,4,7,11"
