id,IT_NAME,image_url,query,annotators
223501888,May shop 寵物狗狗玩具 雙色蛇藏食嗅聞狗狗玩具磨牙耐咬益智漏食玩具,https://cs-d.ecimg.tw/items/DEAKDWA900G65AP/000001_1679728637.jpg,狗玩具,"['2', '5', '8', '12']"
223501889,寵物解悶益智玩具 安全無毒狗狗玩具 天然乳膠球 寵物拋接玩具 有聲音狗玩具 毛孩抗憂鬱【大號】,https://cs-d.ecimg.tw/items/DEAK8OA900G6NY4/000001_1680160608.jpg,狗玩具,"['2', '5', '8', '12']"
223501890,Petstages 歐卡迷你健齒3合1組(耐咬/潔牙/狗玩具),https://cs-d.ecimg.tw/items/DEAK2NA900AFOKS/000001_1647588006.jpg,狗玩具,"['2', '5', '8', '12']"
223501891,Major Dog 漂浮水母 狗狗玩具 水中玩具,https://cs-d.ecimg.tw/items/DEAK8LA900HF6QC/000001_1713947094.jpg,狗玩具,"['2', '5', '8', '12']"
223501892,all for paws AFP afp 清涼系列 章魚寶/鯊魚寶/海龜寶 專屬夏天降溫玩具 產品織物特性保持水分 狗玩具 寵物玩具,https://cs-d.ecimg.tw/items/DEAK8MA900FMKM7/000001_1665017135.jpg,狗玩具,"['2', '5', '8', '12']"
223501893,鋼絲逗貓棒(羽毛逗貓棒 蜜蜂逗貓棒 毛蟲逗貓棒 小魚逗貓棒 貓咪玩具 狗狗玩具 寵物玩具),https://cs-d.ecimg.tw/items/DEAK5OA900HWPDH/000001_1727772859.jpg,狗玩具,"['2', '5', '8', '12']"
223501894,【AH-206】寵物洗澡刷 蓮蓬頭 貓梳子 理毛梳子狗玩具 貓玩具 逗貓 除毛刷 刷子 沐浴乳花灑,https://cs-d.ecimg.tw/items/DEAKOPA900AUUOC/000001_1599299149.jpg,狗玩具,"['2', '5', '8', '12']"
223501895,Petstages [2入組] 美國  219 耐咬史迪克 L 大型犬 啃咬 寵物玩具 狗玩具,https://cs-d.ecimg.tw/items/QFAW7AA9009BMJ9/000001_1604564579.jpg,狗玩具,"['2', '5', '8', '12']"
223501896,神奇威力鯨 【南紡購物中心】 【寵物貴族】招財貓不倒翁逗貓玩具 逗貓棒 貓咪玩具(逗貓球 寵物玩具 狗狗玩具),https://cs-d.ecimg.tw/items/DEDG58A900HBT2R/000001_1711013323.jpg,狗玩具,"['2', '5', '8', '12']"
223501897,Petstages 美國  牛肝脈棒 S 寵物 磨牙 潔齒 啃咬 耐咬 防水 狗玩具 安全 寵物玩具,https://cs-d.ecimg.tw/items/QFAW7AA900AHE99/000001_1580374521.jpg,狗玩具,"['2', '5', '8', '12']"
